mfh_id,official_name,normalized_name,alias_names,alias_pinyin,source_batch,source_year,announcement_no,restriction_note,source_url,status
MFH0065,菊苣,菊苣,菊苣,JU JU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0066,黄芥子,黄芥子,黄芥子;芥子;白芥子,HUANG JIE ZI;JIE ZI;BAI JIE ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0067,黄精,黄精,黄精,HUANG JING,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0068,紫苏,紫苏,紫苏,ZI SU,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0069,紫苏籽,紫苏籽,紫苏籽,ZI SU ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0070,葛根,葛根,葛根,GE GEN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0071,黑芝麻,黑芝麻,黑芝麻,HEI ZHI MA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0072,黑胡椒,黑胡椒,黑胡椒;胡椒,HEI HU JIAO;HU JIAO,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0073,槐米,槐米,槐米;槐花,HUAI MI;HUAI HUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0074,槐花,槐花,槐花,HUAI HUA,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0075,蒲公英,蒲公英,蒲公英,PU GONG YING,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0076,蜂蜜,蜂蜜,蜂蜜,FENG MI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0077,榧子,榧子,榧子,FEI ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0078,酸枣仁,酸枣仁,酸枣仁,SUAN ZAO REN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0079,鲜白茅根,鲜白茅根,鲜白茅根;白茅根,XIAN BAI MAO GEN;BAI MAO GEN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0080,鲜芦根,鲜芦根,鲜芦根;芦根,XIAN LU GEN;LU GEN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0081,蝮蛇,蝮蛇,蝮蛇,FU SHE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0082,橘皮,橘皮,橘皮;桔皮;陈皮,JU PI;JU PI;CHEN PI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0083,薄荷,薄荷,薄荷,BO HE,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0084,薏苡仁,薏苡仁,薏苡仁,YI YI REN,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0085,薤白,薤白,薤白,XIE BAI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0086,覆盆子,覆盆子,覆盆子,FU PEN ZI,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0087,藿香,藿香,藿香,HUO XIANG,2002_base,2002,卫法监发〔2002〕51号,,https://www.nhc.gov.cn/wjw/gfxwj/200203/5e9768a72af64db89acb45fe30a810af.shtml,active
MFH0088,当归,当归,当归,DANG GUI,2019_spice_only,2019,2019年第8号,仅作为香辛料和调味品使用,https://www.nhc.gov.cn/sps/c100088/202001/8a2f0dc747604ff9879f729bf95edf48.shtml,active
MFH0089,山柰,山柰,山柰;山奈,SHAN NAI;SHAN NAI,2019_spice_only,2019,2019年第8号,仅作为香辛料和调味品使用,https://www.nhc.gov.cn/sps/c100088/202001/8a2f0dc747604ff9879f729bf95edf48.shtml,active
MFH0090,西红花,西红花,西红花,XI HONG HUA,2019_spice_only,2019,2019年第8号,仅作为香辛料和调味品使用,https://www.nhc.gov.cn/sps/c100088/202001/8a2f0dc747604ff9879f729bf95edf48.shtml,active
MFH0091,草果,草果,草果,CAO GUO,2019_spice_only,2019,2019年第8号,仅作为香辛料和调味品使用,https://www.nhc.gov.cn/sps/c100088/202001/8a2f0dc747604ff9879f729bf95edf48.shtml,active
MFH0092,姜黄,姜黄,姜黄,JIANG HUANG,2019_spice_only,2019,2019年第8号,仅作为香辛料和调味品使用,https://www.nhc.gov.cn/sps/c100088/202001/8a2f0dc747604ff9879f729bf95edf48.shtml,active
MFH0093,荜茇,荜茇,荜茇,BI BA,2019_spice_only,2019,2019年第8号,仅作为香辛料和调味品使用,https://www.nhc.gov.cn/sps/c100088/202001/8a2f0dc747604ff9879f729bf95edf48.shtml,active
MFH0094,党参,党参,党参,DANG SHEN,2023_added,2023,2023年第9号,,https://www.nhc.gov.cn/wjw/c100175/202311/59e03b384f9a4d0b9623e19b813f6cc4.shtml,active
MFH0095,肉苁蓉（荒漠）,肉苁蓉,肉苁蓉;荒漠;荒漠肉苁蓉,ROU CONG RONG;HUANG MO;HUANG MO ROU CONG RONG,2023_added,2023,2023年第9号,,https://www.nhc.gov.cn/wjw/c100175/202311/59e03b384f9a4d0b9623e19b813f6cc4.shtml,active
MFH0096,铁皮石斛,铁皮石斛,铁皮石斛,TIE PI SHI HU,2023_added,2023,2023年第9号,,https://www.nhc.gov.cn/wjw/c100175/202311/59e03b384f9a4d0b9623e19b813f6cc4.shtml,active
MFH0097,西洋参,西洋参,西洋参,XI YANG SHEN,2023_added,2023,2023年第9号,,https://www.nhc.gov.cn/wjw/c100175/202311/59e03b384f9a4d0b9623e19b813f6cc4.shtml,active
MFH0098,黄芪,黄芪,黄芪,HUANG QI,2023_added,2023,2023年第9号,,https://www.nhc.gov.cn/wjw/c100175/202311/59e03b384f9a4d0b9623e19b813f6cc4.shtml,active
MFH0099,灵芝,灵芝,灵芝,LING ZHI,2023_added,2023,2023年第9号,,https://www.nhc.gov.cn/wjw/c100175/202311/59e03b384f9a4d0b9623e19b813f6cc4.shtml,active
MFH0100,山茱萸,山茱萸,山茱萸,SHAN ZHU YU,2023_added,2023,2023年第9号,,https://www.nhc.gov.cn/wjw/c100175/202311/59e03b384f9a4d0b9623e19b813f6cc4.shtml,active
MFH0101,天麻,天麻,天麻,TIAN MA,2023_added,2023,2023年第9号,,https://www.nhc.gov.cn/wjw/c100175/202311/59e03b384f9a4d0b9623e19b813f6cc4.shtml,active
MFH0102,杜仲叶,杜仲叶,杜仲叶,DU ZHONG YE,2023_added,2023,2023年第9号,,https://www.nhc.gov.cn/wjw/c100175/202311/59e03b384f9a4d0b9623e19b813f6cc4.shtml,active
MFH0103,地黄,地黄,地黄,DI HUANG,2024_added,2024,2024年第4号,,https://www.nhc.gov.cn/sps/c100088/202408/53150d0918ec40899b5293147ec0dd01.shtml,active
MFH0104,麦冬,麦冬,麦冬,MAI DONG,2024_added,2024,2024年第4号,,https://www.nhc.gov.cn/sps/c100088/202408/53150d0918ec40899b5293147ec0dd01.shtml,active
MFH0105,天冬,天冬,天冬,TIAN DONG,2024_added,2024,2024年第4号,,https://www.nhc.gov.cn/sps/c100088/202408/53150d0918ec40899b5293147ec0dd01.shtml,active
MFH0106,化橘红,化橘红,化橘红,HUA JU HONG,2024_added,2024,2024年第4号,,https://www.nhc.gov.cn/sps/c100088/202408/53150d0918ec40899b5293147ec0dd01.shtml,active
